TRACTCE,COUNTYFP,BLKGRPCE,NatWalkInd,Prop_land_unprotected,D4B025,D4A,D2B_E5MIXA,D2A_JPHH,D1D,D1C5_ENT,D1B,E_PctLowWage,Prop_over3kmonth,R_PCTLOWWAGE,P_WrkAge
16400,81,1,13.5,1.0,0.0,205.19,0.234100463,0.063660477,18.76767825,0.0,76.65352923,0.083333333,0.17640117994100296,0.149618321,0.662
140300,81,1,13.5,1.0,0.0,588.75,0.506065594,0.260450161,8.929385447,0.210103187,17.81675026,0.469135802,0.2606132075471698,0.220183486,0.629
6100,81,1,17.66666667,1.0,1.0,201.17,0.815763804,0.773897059,88.44610423,14.90572148,103.0224175,0.301662708,0.26458832933653076,0.173664122,0.73
5800,81,3,13.0,1.0,0.0,319.19,0.525377454,0.150250417,16.89654249,0.070304615,41.29224391,0.144444444,0.18388195232690124,0.200956938,0.661
5800,81,4,14.66666667,1.0,0.004707958,319.19,0.673711555,0.157051282,12.55975592,0.626339534,35.83321441,0.163265306,0.20515179392824287,0.180778032,0.672
5900,81,3,14.66666667,1.0,1.0,175.69,0.800296238,0.502347418,58.00883822,2.887702049,71.17336227,0.369158879,0.39618138424821003,0.154411765,0.807
13400,81,4,11.66666667,1.0,0.0,187.76,0.294599319,0.057591623,27.92426304,0.0,60.41041064,0.090909091,0.2814645308924485,0.184684685,0.778
6300,81,1,17.83333333,1.0,1.0,103.27,0.777858226,1.052104208,89.23074657,1.459022534,84.16256303,0.295238095,0.3759124087591241,0.177877429,0.874
6300,81,4,13.66666667,1.0,0.006686318,270.91,0.637886971,1.610526316,80.32544164,14.27332989,73.94799637,0.33496732,0.3624229979466119,0.164623468,0.586
6900,81,1,14.66666667,1.0,0.881350142,115.34,0.573504102,0.245210728,57.38257541,4.675142863,59.62408227,0.4765625,0.48549946294307195,0.170827858,0.85
6900,81,2,15.0,1.0,0.0,244.08,0.478197883,1.053156146,66.92649308,0.134570697,86.66352857,0.151419558,0.35455486542443065,0.1882662,0.586
6202,81,4,17.16666667,1.0,0.0,543.15,0.871270961,1.165697674,36.81021634,4.216356827,49.6961608,0.391521197,0.16682554814108674,0.202898551,0.632
7100,81,2,7.666666667,1.0,0.153849042,350.03,0.586135312,0.044843049,100.169195,1.454362178,159.0708633,0.65,0.408,0.18487395,0.808
7100,81,3,15.66666667,1.0,0.699128809,189.1,0.889137122,0.213235294,68.72674377,1.379708783,96.83831023,0.370689655,0.43098842386464825,0.184634449,0.806
7100,81,4,19.66666667,1.0,1.0,199.83,0.893866611,1.568421053,61.21491,7.68659233,37.8309996,0.202684564,0.4908200734394125,0.161875946,0.886
7300,81,1,12.0,1.0,0.770474416,175.69,0.15899601,3.19527897,168.5752764,1.950726438,82.9871539,0.075218267,0.48971596474045054,0.136125654,0.724
7300,81,3,8.5,1.0,0.523640722,368.81,0.680385433,0.065550907,76.3404806,0.16346998,100.1253627,0.276595745,0.4073469387755102,0.166456494,0.951
